Order,Country,Number of new projects,Newly registered capital (million USD),Adjusted project number,Adjusted capital (million USD),Number of times of capital contribution to buy shares,"Value of capital contribution, share purchase (million USD)",Year,Total number of projects,Total registered capital (million USD),Total investment (million USD)
717,Mexico,1,0.022,0,0.0,0,0.0,2021,1,0.022,0.022
718,Saint Kitts and Nevis,0,0.0,0,0.0,1,0.02,2021,0,0.0,0.02
719,Argentina,1,0.004,0,0.0,2,0.01,2021,1,0.004,0.014
720,Estonia,1,0.01,0,0.0,0,0.0,2021,1,0.01,0.01
721,Palestine,0,0.0,0,0.0,1,0.004,2021,0,0.0,0.004
722,Isle of Man,0,0.0,0,0.0,1,0.004,2021,0,0.0,0.004
723,Tanzania,0,0.0,0,0.0,1,0.004,2021,0,0.0,0.004
724,Latvia,0,0.0,0,0.0,2,0.003,2021,0,0.0,0.003
725,Vanuatu,0,0.0,0,0.0,1,0.002,2021,0,0.0,0.002
726,Republic of Cyprus,1,0.15,2,10.09,2,4.47,2021,3,10.24,14.71
727,Singapore,280,2120.23,113,2500.71,376,1834.07,2022,393,4620.9400000000005,6455.01
728,Korea,416,1118.85,361,2818.57,1215,941.59,2022,777,3937.42,4879.01
729,Japan,203,3388.39,162,1170.14,216,222.86,2022,365,4558.53,4781.389999999999
730,China,283,1356.53,127,1002.83,312,158.65,2022,410,2359.36,2518.01
731,Hongkong,134,1101.22,79,958.54,58,164.12,2022,213,2059.76,2223.88
732,Taiwan,86,512.8,54,648.31,216,190.51,2022,140,1161.11,1351.62
733,Denmark,8,1320.52,3,1.44,8,1.22,2022,11,1321.96,1323.18
734,The United States of America,91,531.56,22,48.11,166,168.5,2022,113,579.67,748.17
735,Neitherland,31,43.73,8,41.55,30,616.9,2022,39,85.28,702.18
736,BritishVirginIslands,25,192.72,20,216.34,20,197.94,2022,45,409.06,607.0
737,Samoa,20,98.74,17,197.04,7,9.99,2022,37,295.78,305.77
738,Cayman Islands,4,1.51,1,96.49,19,124.61,2022,5,98.0,222.61
739,Thailand,37,110.06,16,72.62,50,161.42,2022,53,182.68,344.1
740,Malaysia,38,9.29,7,131.29,87,44.6,2022,45,140.57999999999998,185.17999999999998
741,Bermuda,2,180.28,0,0.0,0,0.0,2022,2,180.28,180.28
742,France,26,38.16,12,107.99,79,18.78,2022,38,146.14999999999998,164.92999999999998
743,United Kingdom,53,64.33,15,29.11,55,41.21,2022,68,93.44,134.65
744,Germany,32,58.47,13,48.27,33,10.34,2022,45,106.74000000000001,117.08000000000001
745,Seychelles,19,55.89,10,23.13,14,35.12,2022,29,79.02,114.13999999999999
746,Australia,36,7.4,8,16.53,87,47.32,2022,44,23.93,71.25
747,Canada,14,7.44,2,0.08,49,49.82,2022,16,7.5200000000000005,57.34
748,Sweden,6,37.61,1,3.0,9,3.32,2022,7,40.61,43.93
749,Luxembourg,4,35.02,3,4.25,5,10.65,2022,7,39.27,49.92
750,India,42,1.96,5,23.23,61,6.58,2022,47,25.19,31.770000000000003
751,Indonesia,4,0.53,3,25.17,4,5.44,2022,7,25.700000000000003,31.140000000000004
752,Brunei Darussalam,1,5.0,3,22.55,1,1.0,2022,4,27.55,28.55
753,Poland,3,0.01,2,22.54,1,0.03,2022,5,22.55,22.580000000000002
754,Russia,12,7.64,3,4.32,64,8.39,2022,15,11.96,20.35
755,Cambodia,2,1.01,0,0.0,2,16.94,2022,2,1.01,17.950000000000003
756,Spain,5,5.94,4,3.3,4,6.94,2022,9,9.24,16.18
757,Philippines,3,0.8,1,2.0,68,11.72,2022,4,2.8,14.52
758,Marshall Islands,7,13.97,0,0.0,0,0.0,2022,7,13.97,13.97
759,Italia,10,0.39,4,9.28,12,1.91,2022,14,9.67,11.58
760,Nigeria,1,0.12,0,0.0,49,11.42,2022,1,0.12,11.54
761,Switzerland,16,4.55,5,5.87,11,0.71,2022,21,10.42,11.129999999999999
762,Belize,2,0.23,2,5.08,2,1.33,2022,4,5.3100000000000005,6.640000000000001
763,Mauritius,2,1.05,1,5.5,0,0.0,2022,3,6.55,6.55
764,Hungary,3,2.37,1,3.14,1,0.06,2022,4,5.51,5.569999999999999
765,United States Virgin Islands,0,0.0,2,3.82,1,0.95,2022,2,3.82,4.77
766,New Zealand,5,1.72,0,0.0,8,1.32,2022,5,1.72,3.04
767,Austria,6,0.92,1,0.13,5,1.82,2022,7,1.05,2.87
768,Ireland,9,1.37,1,0.25,6,1.03,2022,10,1.62,2.6500000000000004
769,Pakistan,3,0.95,1,0.05,9,1.29,2022,4,1.0,2.29
770,Laos,0,0.0,0,0.0,2,2.09,2022,0,0.0,2.09
771,Czech Republic,2,1.12,1,0.01,3,0.67,2022,3,1.1300000000000001,1.8000000000000003
772,Ukraina,0,0.0,0,0.0,9,1.68,2022,0,0.0,1.68
773,Belgium,1,0.84,2,0.19,9,0.45,2022,3,1.03,1.48
774,Poland,2,0.06,1,0.56,3,0.79,2022,3,0.6200000000000001,1.4100000000000001
775,Sri Lanka,1,0.01,0,0.0,8,1.15,2022,1,0.01,1.16
776,Afghanistan,2,0.04,0,0.0,2,1.1,2022,2,0.04,1.1400000000000001
777,Yemen,0,0.0,1,0.09,3,1.0,2022,1,0.09,1.09
778,Republic of Cyprus,3,0.42,1,0.24,5,0.37,2022,4,0.6599999999999999,1.0299999999999998
779,South Africa,3,0.16,0,0.0,7,0.79,2022,3,0.16,0.9500000000000001
780,Saint Kitts and Nevis,0,0.0,0,0.0,3,0.91,2022,0,0.0,0.91
781,Cuba,0,0.0,0,0.0,3,0.9,2022,0,0.0,0.9
782,Turkey,5,0.37,3,0.03,20,0.45,2022,8,0.4,0.8500000000000001
783,Syrian Arab Republic,0,0.0,0,0.0,3,0.83,2022,0,0.0,0.83
784,Israel,1,0.04,1,0.2,6,0.52,2022,2,0.24000000000000002,0.76
785,United Arab Emirates,2,0.27,1,0.25,2,0.22,2022,3,0.52,0.74
786,Egypt,1,0.05,0,0.0,2,0.67,2022,1,0.05,0.7200000000000001
787,Cote deIvoire,0,0.0,0,0.0,2,0.69,2022,0,0.0,0.69
788,Bangladesh,1,0.05,0,0.0,4,0.58,2022,1,0.05,0.63
789,Norway,4,0.26,0,0.0,4,0.29,2022,4,0.26,0.55
790,Kazakhstan,0,0.0,0,0.0,5,0.55,2022,0,0.0,0.55
791,Saint Vincent and the Grenadines,0,0.0,0,0.0,1,0.45,2022,0,0.0,0.45
792,Bahamas,0,0.0,0,0.0,1,0.42,2022,0,0.0,0.42
793,Burundi,0,0.0,0,0.0,1,0.38,2022,0,0.0,0.38
794,Vanuatu,0,0.0,0,0.0,3,0.36,2022,0,0.0,0.36
795,Iran (Islamic Republic of),2,0.03,1,0.02,3,0.31,2022,3,0.05,0.36
796,Sudan,0,0.0,0,0.0,1,0.3,2022,0,0.0,0.3
797,Latvia,0,0.0,0,0.0,3,0.29,2022,0,0.0,0.29
798,Burkina Faso,0,0.0,0,0.0,1,0.28,2022,0,0.0,0.28
799,Guinea,0,0.0,0,0.0,1,0.27,2022,0,0.0,0.27
800,Armenia,2,0.14,0,0.0,1,0.13,2022,2,0.14,0.27
801,Rumani,1,0.13,1,0.13,0,0.0,2022,2,0.26,0.26
802,Dominica,0,0.0,0,0.0,2,0.24,2022,0,0.0,0.24
803,Lebanon,2,0.09,0,0.0,1,0.13,2022,2,0.09,0.22
804,Grece,1,0.01,0,0.0,1,0.21,2022,1,0.01,0.22
805,Macao,0,0.0,0,0.0,1,0.21,2022,0,0.0,0.21
806,Algeria,0,0.0,0,0.0,2,0.19,2022,0,0.0,0.19
807,Bulgaria,3,0.18,0,0.0,0,0.0,2022,3,0.18,0.18
808,Grenada,1,0.15,0,0.0,0,0.0,2022,1,0.15,0.15
809,Portugal,0,0.0,0,0.0,2,0.14,2022,0,0.0,0.14
810,Antigua and Barbuda,0,0.0,1,0.14,0,0.0,2022,1,0.14,0.14
811,Libya,1,0.13,0,0.0,0,0.0,2022,1,0.13,0.13
812,Colombia,0,0.0,0,0.0,1,0.13,2022,0,0.0,0.13
813,Venezuela,1,0.02,0,0.0,1,0.11,2022,1,0.02,0.13
814,Myanmar,2,0.11,0,0.0,0,0.0,2022,2,0.11,0.11
815,Ethiopia,0,0.0,0,0.0,1,0.11,2022,0,0.0,0.11
816,Malta,1,0.1,0,0.0,0,0.0,2022,1,0.1,0.1
817,Chile,0,0.0,0,0.0,1,0.09,2022,0,0.0,0.09
818,Lithuania,1,0.08,0,0.0,0,0.0,2022,1,0.08,0.08
819,Belarus,0,0.0,0,0.0,2,0.07,2022,0,0.0,0.07
820,Uganda,1,0.05,0,0.0,0,0.0,2022,1,0.05,0.05
821,Albania,0,0.0,0,0.0,1,0.05,2022,0,0.0,0.05
822,Jordan,1,0.04,0,0.0,0,0.0,2022,1,0.04,0.04
823,Kyrgyzstan,0,0.0,0,0.0,1,0.03,2022,0,0.0,0.03
824,Tunisia,0,0.0,0,0.0,1,0.03,2022,0,0.0,0.03
825,Brazil,1,0.02,0,0.0,1,0.01,2022,1,0.02,0.03
826,Iceland,0,0.0,0,0.0,1,0.01,2022,0,0.0,0.01
827,Argentina,1,0.01,0,0.0,0,0.0,2022,1,0.01,0.01
828,Nepal,0,0.0,0,0.0,1,0.01,2022,0,0.0,0.01
829,Djibouti,0,0.0,0,0.0,1,0.01,2022,0,0.0,0.01
830,Estonia,0,0.0,0,0.0,1,0.01,2022,0,0.0,0.01
831,Republic of Moldova,1,0.01,0,0.0,0,0.0,2022,1,0.01,0.01
832,Cameroon,1,0.01,0,0.0,0,0.0,2022,1,0.01,0.01
833,Isle of Man,0,0.0,0,0.0,1,0.004,2022,0,0.0,0.004
834,Slovenia,0,0.0,0,0.0,1,0.004,2022,0,0.0,0.004
